ts,stage_name,notes,rows_before,rows_after,row_delta,row_pct_change,cols_before,cols_after,new_cols,dropped_cols
2025-12-04 11:57:11,3.2.4_hole_level_closeout,"Hole-level features finalized; validation, profile, and hole centroids captured.",4240.0,4240,0.0,0.0,61.0,64,"['hole_lat', 'hole_lon', 'hole_gps_points']",[]
2025-12-04 11:57:11,3.3.1_build_player_club_profile,Built per-player × per-club planning profile with p30/p60/p85 distances and app-recorded directional mix from shot_fairway_hit_type. 15/15 groups have ≥5 shots.,,15,,,,23,[],[]
2025-12-04 11:57:17,3.3.2_player_club_hole_dispersion,"Per hole, used first→last shot as line-of-play; computed sided dispersion at p=1.0; kept calc_* anchors for mapping/debug.",,267,,,,16,[],[]
2025-12-04 11:57:18,3.3.3_player_club_dispersion_rollup,"Rolled up hole-level dispersion to player+club using WEIGHT_BY_SHOTS=False, strategy=nonzero_p75. Holes with more shots influence the club-level dispersion more.",,14,,,,8,[],[]
2025-12-04 11:57:18,3.3.4_attach_dispersion_to_player_club_profile,"Enriched player_club_profile with dispersion metrics from 3.3.3 (plan_dispersion, dispersion_hole_count, dispersion_shot_count) in an idempotent way.",15.0,15,0.0,0.0,23.0,26,"['plan_dispersion', 'dispersion_hole_count', 'dispersion_shot_count']",[]
2025-12-04 11:57:18,3.3.5_enrich_club_profile_with_cone_fields,"Calibrated per-player dispersion cone from driver (1W) using plan_dispersion and plan_distance_long, then projected expected dispersion to all clubs at short/hit/long planning distances.",15.0,15,0.0,0.0,26.0,32,"['disp_half_angle_rad', 'disp_half_angle_deg', 'disp_tan_half_angle', 'plan_dispersion_short', 'plan_dispersion_hit', 'plan_dispersion_long']",[]
2025-12-04 11:57:18,3.3.6_club_level_closeout,"Closed out 3.3 club-level features; validated base, hole-level, rollup, and cone-enriched club profile; captured QA metrics.",15.0,15,0.0,0.0,32.0,35,"['join_key', 'join_key_cone', 'join_key_aim']",[]
2025-12-04 11:57:18,3.4.1_build_or_refresh_facilities,Built facilities from golf_valid and merged user-provided hint columns from cache if available.,,30,,,,16,"['facility', 'course', 'first_seen_round_dt', 'last_seen_round_dt', 'rounds_observed', 'hint_city', 'hint_state_abbr', 'facility_course_key', 'shot_centroid_lat', 'shot_centroid_lon', 'shots_used_for_centroids', 'geo_lat', 'geo_lon', 'geo_source', 'geo_query_used', 'facility_tz']",[]
2025-12-04 11:57:18,3.4.2_derive_shot_based_centroids,Added/updated shot_centroid_* columns from observed shot GPS; re-runnable without duplicate columns.,30.0,30,0.0,0.0,16.0,16,"['shot_centroid_lat', 'shot_centroid_lon', 'shots_used_for_centroids']",[]
2025-12-04 11:57:18,3.4.3_geocode_remaining_facilities,"Filled geo_* from shot centroids where present, then geocoded remaining rows via Nominatim → ArcGIS.",30.0,30,0.0,0.0,16.0,16,[],[]
2025-12-04 11:57:20,3.4.4_build_facility_timezones,Appended facility_tz field from geographic coordinates; idempotent and reproducible.,30.0,30,0.0,0.0,16.0,16,[],[]
2025-12-04 11:57:20,3.4.5_enrich_facilities_from_golfcourseapi_cache_only,Queried GolfCourseAPI for facilities that needed enrichment; updated cache at facilities_api_cache.csv; API calls made: 0.,30.0,30,0.0,0.0,26.0,26,[],[]
2025-12-04 11:57:21,3.5.1_create_phase4_dataframes,"Derived golf_rounds, golf_holes (with hole_id), and golf_shots from golf_valid.",4240.0,4240,0.0,0.0,64.0,65,['hole_id'],[]
